City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,xiaoweizhai,26.1903,107.5125,7.41,85,49,1.6,CN,1700158012
305,gorno-altaysk,51.9561,85.955,1.95,86,100,1.79,RU,1700158012
306,barbastro,42.0356,0.1269,18.1,79,17,2.97,ES,1700158012
307,choyr,46.3611,108.3611,-12.81,83,5,1.04,MN,1700158012
308,taguatinga,-12.3857,-46.5711,37.56,25,30,3.73,BR,1700158012
309,bratsk,56.1325,101.6142,0.27,83,100,3.79,RU,1700158013
310,cambria,35.5641,-121.0808,22.53,79,63,3.9,US,1700157780
311,manicore,-5.8092,-61.3003,42.07,18,2,1.1,BR,1700158013
312,macapa,0.0389,-51.0664,35.99,44,40,4.12,BR,1700157841
313,sageata,45.1,26.9833,9.68,58,9,3.93,RO,1700158013
314,hamamatsu,34.7,137.7333,12.23,92,100,0.45,JP,1700158013
315,arteche,12.2645,125.4048,26.42,88,88,4.46,PH,1700158013
316,minas de marcona,-15.2119,-75.1103,21.31,53,50,6.2,PE,1700158013
317,tam ky,15.5667,108.4833,23.81,87,100,7.96,VN,1700158013
318,berezovyy,51.6667,135.7,-7.89,88,100,0.63,RU,1700158014
319,isokyro,63.0117,22.3333,-1.8,98,65,1.23,FI,1700158014
320,dundaga,57.5167,22.35,0.51,73,99,2.17,LV,1700158014
321,mhasvad,17.6333,74.7833,22.1,45,2,3.21,IN,1700158014
322,mariental,-24.6333,17.9667,24.11,56,84,7.7,NA,1700158014
323,padang,-0.9492,100.3543,26.03,92,97,0.91,ID,1700157813
324,iquique,-20.2208,-70.1431,20.9,69,28,4.02,CL,1700158014
325,zhanaozen,43.3,52.8,12.64,95,96,3.94,KZ,1700158015
326,remire-montjoly,4.9167,-52.2667,32.02,62,0,6.17,GF,1700158015
327,bac lieu,9.285,105.7244,26.36,86,100,7.35,VN,1700157856
328,extrema,-22.8547,-46.3183,33.6,29,98,3.39,BR,1700157757
329,mlangali,-9.7833,34.5167,15.81,85,94,2.31,TZ,1700158015
330,sinabang,2.4803,96.3801,26.04,88,100,1.86,ID,1700158015
331,suva,-18.1416,178.4415,23.71,94,75,0.51,FJ,1700157783
332,axim,4.8699,-2.2405,26.96,82,39,3.57,GH,1700158015
333,mossel bay,-34.1831,22.146,19.96,83,100,1.28,ZA,1700157839
334,bhuj,23.2667,69.6667,23.56,38,39,2.21,IN,1700158015
335,severo-yeniseyskiy,60.3725,93.0408,-2.46,94,100,4.47,RU,1700158016
336,song cau,13.45,109.2167,24.75,94,92,8.2,VN,1700158016
337,arraial do cabo,-22.9661,-42.0278,35.98,62,0,8.23,BR,1700157797
338,pariaman,-0.619,100.12,26.03,90,99,1.18,ID,1700158016
339,zhezqazghan,47.7833,67.7667,7.74,50,99,2.5,KZ,1700158016
340,vernon,50.2581,-119.2691,1.83,88,41,1.54,CA,1700157779
341,gafanha da nazare,40.6362,-8.7134,19.45,94,97,2.46,PT,1700158016
342,kayangel,8.0823,134.7173,28.82,81,94,7.78,PW,1700158016
343,arno,60.1167,18.6333,-1.79,72,99,2.76,SE,1700158016
344,moraleja,40.0162,-6.6977,16.47,83,43,1.36,ES,1700158017
345,abepura,-2.6333,140.5833,24.45,94,20,0.51,ID,1700157833
346,lamu,-2.2717,40.902,26.12,82,20,4.44,KE,1700157763
347,badiyah,22.45,58.8,23.33,67,73,4.22,OM,1700158017
348,lerwick,60.1545,-1.1494,4.0,58,94,2.66,GB,1700158017
349,utrik,11.2278,169.8474,28.03,81,31,8.89,MH,1700158017
350,monrovia,6.3005,-10.7969,29.87,76,21,2.71,LR,1700158017
351,lazaro cardenas,17.9583,-102.2,30.47,69,19,2.03,MX,1700157847
352,rongelap,11.1635,166.8941,27.97,82,46,8.95,MH,1700158017
353,anan,33.9167,134.65,14.88,94,100,5.14,JP,1700158017
354,santo anastacio,-21.8383,-51.6103,40.64,17,25,4.55,BR,1700158018
355,vanimo,-2.6741,141.3028,25.29,91,52,1.95,PG,1700158018
356,mahina,-17.5065,-149.489,26.87,74,75,3.6,PF,1700158018
357,boda,4.3189,17.4695,21.44,95,100,3.81,CF,1700158018
358,troitsko-pechorsk,62.7084,56.1964,-6.84,87,100,0.45,RU,1700158018
359,juneau,58.3019,-134.4197,3.01,97,100,6.17,US,1700158018
360,castillos,-34.1667,-53.8333,23.15,49,52,4.58,UY,1700158018
